mcc;public_mcc_description;Prometis_label
742;Veterinary Services;CULTURAL AND RECREATIONAL SERVICES
763;Agricultural Co-operatives;GARDEN PRODUCTS AND PETS
780;Horticultural Services, Landscaping Services;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1520;General Contractors-Residential and Commercial;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1711;Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1731;Electrical Contractors;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1740;Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1750;Carpentry Contractors;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1761;Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1771;Contractors – Concrete Work;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
1799;Contractors – Special Trade, Not Elsewhere Classified;SERVICES FOR MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING
2741;Miscellaneous Publishing and Printing;CULTURAL AND RECREATIONAL SERVICES
2791;Typesetting, Plate Making, & Related Services;CULTURAL AND RECREATIONAL SERVICES
2842;Specialty Cleaning, Polishing, and Sanitation Preparations;DOMESTIC SERVICES AND HOUSEHOLD SERVICES
3000;UNITED AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3001;AMERICAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3002;PAN AMERICAN;PASSENGER TRANSPORT SERVICES - AIR
3003;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3004;TRANS WORLD AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3005;BRITISH AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3006;JAPAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3007;AIR FRANCE;PASSENGER TRANSPORT SERVICES - AIR
3008;LUFTHANSA;PASSENGER TRANSPORT SERVICES - AIR
3009;AIR CANADA;PASSENGER TRANSPORT SERVICES - AIR
3010;KLM (ROYAL DUTCH AIRLINES);PASSENGER TRANSPORT SERVICES - AIR
3011;AEORFLOT;PASSENGER TRANSPORT SERVICES - AIR
3012;QANTAS;PASSENGER TRANSPORT SERVICES - AIR
3013;ALITALIA;PASSENGER TRANSPORT SERVICES - AIR
3014;SAUDIA ARABIAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3015;SWISSAIR;PASSENGER TRANSPORT SERVICES - AIR
3016;SAS;PASSENGER TRANSPORT SERVICES - AIR
3017;SOUTH AFRICAN AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3018;VARIG (BRAZIL);PASSENGER TRANSPORT SERVICES - AIR
3019;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3020;AIR-INDIA;PASSENGER TRANSPORT SERVICES - AIR
3021;AIR ALGERIE;PASSENGER TRANSPORT SERVICES - AIR
3022;PHILIPPINE AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3023;MEXICANA;PASSENGER TRANSPORT SERVICES - AIR
3024;PAKISTAN INTERNATIONAL;PASSENGER TRANSPORT SERVICES - AIR
3025;AIR NEW ZEALAND;PASSENGER TRANSPORT SERVICES - AIR
3026;Airlines;PASSENGER TRANSPORT SERVICES - AIR
3027;UTA/INTERAIR;PASSENGER TRANSPORT SERVICES - AIR
3028;AIR MALTA;PASSENGER TRANSPORT SERVICES - AIR
3029;SABENA;PASSENGER TRANSPORT SERVICES - AIR
3030;AEROLINEAS ARGENTINAS;PASSENGER TRANSPORT SERVICES - AIR
3031;OLYMPIC AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3032;EL AL;PASSENGER TRANSPORT SERVICES - AIR
3033;ANSETT AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3034;AUSTRAINLIAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3035;TAP (PORTUGAL);PASSENGER TRANSPORT SERVICES - AIR
3036;VASP (BRAZIL);PASSENGER TRANSPORT SERVICES - AIR
3037;EGYPTAIR;PASSENGER TRANSPORT SERVICES - AIR
3038;KUWAIT AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3039;AVIANCA;PASSENGER TRANSPORT SERVICES - AIR
3040;GULF AIR (BAHRAIN);PASSENGER TRANSPORT SERVICES - AIR
3041;BALKAN-BULGARIAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3042;FINNAIR;PASSENGER TRANSPORT SERVICES - AIR
3043;AER LINGUS;PASSENGER TRANSPORT SERVICES - AIR
3044;AIR LANKA;PASSENGER TRANSPORT SERVICES - AIR
3045;NIGERIA AIRWAYS;PASSENGER TRANSPORT SERVICES - AIR
3046;CRUZEIRO DO SUL (BRAZIJ);PASSENGER TRANSPORT SERVICES - AIR
3047;THY (TURKEY);PASSENGER TRANSPORT SERVICES - AIR
3048;ROYAL AIR MAROC;PASSENGER TRANSPORT SERVICES - AIR
3049;TUNIS AIR;PASSENGER TRANSPORT SERVICES - AIR
3050;ICELANDAIR;PASSENGER TRANSPORT SERVICES - AIR
3051;AUSTRIAN AIRLINES;PASSENGER TRANSPORT SERVICES - AIR
3052;LANCHILE;PASSENGER TRANSPORT SERVICES - AIR
