,Code,Parent code level 4,Parent length,Parent code level 3,Parent code level 2,Parent code level 1
0,01110.0,0111,4,011,01,A
1,01120.0,0112,4,011,01,A
2,01130.0,0113,4,011,01,A
3,01140.0,0114,4,011,01,A
4,01150.0,0115,4,011,01,A
5,01160.0,0116,4,011,01,A
6,01191.0,0119,4,011,01,A
7,01199.0,0119,4,011,01,A
8,01210.0,0121,4,012,01,A
9,01220.0,0122,4,012,01,A
10,01230.0,0123,4,012,01,A
11,01240.0,0124,4,012,01,A
12,01250.0,0125,4,012,01,A
13,01260.0,0126,4,012,01,A
14,01270.0,0127,4,012,01,A
15,01280.0,0128,4,012,01,A
16,01290.0,0129,4,012,01,A
17,01301.0,0130,4,013,01,A
18,01309.0,0130,4,013,01,A
19,01410.0,0141,4,014,01,A
20,01420.0,0142,4,014,01,A
21,01430.0,0143,4,014,01,A
22,01440.0,0144,4,014,01,A
23,01450.0,0145,4,014,01,A
24,01461.0,0146,4,014,01,A
25,01462.0,0146,4,014,01,A
26,01471.0,0147,4,014,01,A
27,01472.0,0147,4,014,01,A
28,01479.0,0147,4,014,01,A
29,01490.0,0149,4,014,01,A
30,01500.0,0150,4,015,01,A
31,01610.0,0161,4,016,01,A
32,01620.0,0162,4,016,01,A
33,01630.0,0163,4,016,01,A
34,01640.0,0164,4,016,01,A
35,01700.0,0170,4,017,01,A
36,02100.0,0210,4,021,02,A
37,02200.0,0220,4,022,02,A
38,02300.0,0230,4,023,02,A
39,02400.0,0240,4,024,02,A
40,03110.0,0311,4,031,03,A
41,03120.0,0312,4,031,03,A
42,03210.0,0321,4,032,03,A
43,03220.0,0322,4,032,03,A
44,05100.0,0510,4,051,05,B
45,05200.0,0520,4,052,05,B
46,06100.0,0610,4,061,06,B
47,06200.0,0620,4,062,06,B
48,07100.0,0710,4,071,07,B
49,07210.0,0721,4,072,07,B
50,07290.0,0729,4,072,07,B
51,08111.0,0811,4,081,08,B
52,08112.0,0811,4,081,08,B
53,08121.0,0812,4,081,08,B
54,08122.0,0812,4,081,08,B
55,08123.0,0812,4,081,08,B
56,08910.0,0891,4,089,08,B
57,08920.0,0892,4,089,08,B
58,08930.0,0893,4,089,08,B
59,08990.0,0899,4,089,08,B
60,09100.0,0910,4,091,09,B
61,09900.0,0990,4,099,09,B
62,10110.0,1011,4,101,10,C
63,10120.0,1012,4,101,10,C
64,10130.0,1013,4,101,10,C
65,10200.0,1020,4,102,10,C
66,10311.0,1031,4,103,10,C
67,10312.0,1031,4,103,10,C
68,10320.0,1032,4,103,10,C
69,10391.0,1039,4,103,10,C
70,10392.0,1039,4,103,10,C
71,10393.0,1039,4,103,10,C
72,10410.0,1041,4,104,10,C
73,10420.0,1042,4,104,10,C
74,10510.0,1051,4,105,10,C
75,10520.0,1052,4,105,10,C
76,10610.0,1061,4,106,10,C
77,10620.0,1062,4,106,10,C
78,10711.0,1071,4,107,10,C
79,10712.0,1071,4,107,10,C
80,10720.0,1072,4,107,10,C
81,10730.0,1073,4,107,10,C
82,10810.0,1081,4,108,10,C
83,10820.0,1082,4,108,10,C
84,10830.0,1083,4,108,10,C
85,10840.0,1084,4,108,10,C
86,10850.0,1085,4,108,10,C
87,10860.0,1086,4,108,10,C
88,10890.0,1089,4,108,10,C
89,10910.0,1091,4,109,10,C
90,10920.0,1092,4,109,10,C
91,11010.0,1101,4,110,11,C
92,11020.0,1102,4,110,11,C
93,11030.0,1103,4,110,11,C
94,11040.0,1104,4,110,11,C
95,11050.0,1105,4,110,11,C
96,11060.0,1106,4,110,11,C
97,11070.0,1107,4,110,11,C
98,12000.0,1200,4,120,12,C
99,13100.0,1310,4,131,13,C
100,13200.0,1320,4,132,13,C
101,13300.0,1330,4,133,13,C
102,13910.0,1391,4,139,13,C
103,13921.0,1392,4,139,13,C
104,13929.0,1392,4,139,13,C
105,13930.0,1393,4,139,13,C
106,13940.0,1394,4,139,13,C
107,13950.0,1395,4,139,13,C
108,13960.0,1396,4,139,13,C
109,13990.0,1399,4,139,13,C
110,14110.0,1411,4,141,14,C
111,14120.0,1412,4,141,14,C
112,14130.0,1413,4,141,14,C
113,14140.0,1414,4,141,14,C
114,14191.0,1419,4,141,14,C
115,14199.0,1419,4,141,14,C
116,14200.0,1420,4,142,14,C
117,14310.0,1431,4,143,14,C
118,14390.0,1439,4,143,14,C
119,15110.0,1511,4,151,15,C
120,15120.0,1512,4,151,15,C
121,15200.0,1520,4,152,15,C
122,16100.0,1610,4,161,16,C
123,16210.0,1621,4,162,16,C
124,16220.0,1622,4,162,16,C
125,16230.0,1623,4,162,16,C
126,16240.0,1624,4,162,16,C
127,16291.0,1629,4,162,16,C
128,16292.0,1629,4,162,16,C
129,17110.0,1711,4,171,17,C
130,17120.0,1712,4,171,17,C
131,17210.0,1721,4,172,17,C
132,17220.0,1722,4,172,17,C
133,17230.0,1723,4,172,17,C
134,17240.0,1724,4,172,17,C
135,17290.0,1729,4,172,17,C
136,18110.0,1811,4,181,18,C
137,18120.0,1812,4,181,18,C
138,18130.0,1813,4,181,18,C
139,18140.0,1814,4,181,18,C
140,18200.0,1820,4,182,18,C
141,19100.0,1910,4,191,19,C
142,19200.0,1920,4,192,19,C
143,20110.0,2011,4,201,20,C
144,20120.0,2012,4,201,20,C
145,20130.0,2013,4,201,20,C
146,20140.0,2014,4,201,20,C
147,20150.0,2015,4,201,20,C
148,20160.0,2016,4,201,20,C
149,20170.0,2017,4,201,20,C
150,20200.0,2020,4,202,20,C
151,20300.0,2030,4,203,20,C
152,20411.0,2041,4,204,20,C
153,20412.0,2041,4,204,20,C
154,20420.0,2042,4,204,20,C
155,20510.0,2051,4,205,20,C
156,20520.0,2052,4,205,20,C
157,20530.0,2053,4,205,20,C
158,20590.0,2059,4,205,20,C
159,20600.0,2060,4,206,20,C
160,21100.0,2110,4,211,21,C
161,21201.0,2120,4,212,21,C
162,21209.0,2120,4,212,21,C
163,22110.0,2211,4,221,22,C
164,22190.0,2219,4,221,22,C
165,22210.0,2221,4,222,22,C
166,22220.0,2222,4,222,22,C
167,22230.0,2223,4,222,22,C
168,22290.0,2229,4,222,22,C
169,23110.0,2311,4,231,23,C
170,23120.0,2312,4,231,23,C
171,23130.0,2313,4,231,23,C
172,23140.0,2314,4,231,23,C
173,23190.0,2319,4,231,23,C
174,23200.0,2320,4,232,23,C
175,23310.0,2331,4,233,23,C
176,23321.0,2332,4,233,23,C
177,23322.0,2332,4,233,23,C
178,23410.0,2341,4,234,23,C
179,23420.0,2342,4,234,23,C
180,23430.0,2343,4,234,23,C
181,23440.0,2344,4,234,23,C
182,23490.0,2349,4,234,23,C
183,23510.0,2351,4,235,23,C
184,23520.0,2352,4,235,23,C
185,23610.0,2361,4,236,23,C
186,23620.0,2362,4,236,23,C
187,23630.0,2363,4,236,23,C
188,23640.0,2364,4,236,23,C
189,23650.0,2365,4,236,23,C
190,23690.0,2369,4,236,23,C
191,23700.0,2370,4,237,23,C
192,23910.0,2391,4,239,23,C
193,23990.0,2399,4,239,23,C
194,24100.0,2410,4,241,24,C
195,24200.0,2420,4,242,24,C
196,24310.0,2431,4,243,24,C
197,24320.0,2432,4,243,24,C
198,24330.0,2433,4,243,24,C
199,24340.0,2434,4,243,24,C
200,24410.0,2441,4,244,24,C
201,24420.0,2442,4,244,24,C
202,24430.0,2443,4,244,24,C
203,24440.0,2444,4,244,24,C
204,24450.0,2445,4,244,24,C
205,24460.0,2446,4,244,24,C
206,24510.0,2451,4,245,24,C
207,24520.0,2452,4,245,24,C
208,24530.0,2453,4,245,24,C
209,24540.0,2454,4,245,24,C
210,25110.0,2511,4,251,25,C
211,25120.0,2512,4,251,25,C
212,25210.0,2521,4,252,25,C
213,25290.0,2529,4,252,25,C
214,25300.0,2530,4,253,25,C
215,25400.0,2540,4,254,25,C
216,25501.0,2550,4,255,25,C
