;Code;Parent code level 1;Parent code;Level nr;Prometis_label_D_retail;Prometis_label_D_corp;Label NL;ffill_retail;ffill_corp
0;01.0;A;A;2.0;GROCERIES;EXPENSES - GOODS;Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten;1;1
66;011.0;A;1;3.0;GROCERIES;EXPENSES - GOODS;Teelt van eenjarige gewassen;11;11
330;0111.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden;11;11
944;01110.0;A;111;;GROCERIES;EXPENSES - GOODS;Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden;11;11
331;0112.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van rijst;11;11
945;01120.0;A;112;;GROCERIES;EXPENSES - GOODS;Teelt van rijst;11;11
332;0113.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van groenten, meloenen en wortel- en knolgewassen;11;11
946;01130.0;A;113;;GROCERIES;EXPENSES - GOODS;Teelt van groenten, meloenen en wortel- en knolgewassen;11;11
333;0114.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van suikerriet;11;11
947;01140.0;A;114;;GROCERIES;EXPENSES - GOODS;Teelt van suikerriet;11;11
334;0115.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van tabak;11;11
948;01150.0;A;115;;GROCERIES;EXPENSES - GOODS;Teelt van tabak;11;11
335;0116.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van vezelgewassen;11;11
949;01160.0;A;116;;GROCERIES;EXPENSES - GOODS;Teelt van vezelgewassen;11;11
336;0119.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van andere eenjarige gewassen;11;11
950;01191.0;A;119;;GROCERIES;EXPENSES - GOODS;Teelt van bloemen;11;11
951;01199.0;A;119;;GROCERIES;EXPENSES - GOODS;Teelt van andere eenjarige gewassen, n.e.g.;11;11
67;012.0;A;1;3.0;GROCERIES;EXPENSES - GOODS;Teelt van meerjarige gewassen;12;12
337;0121.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van druiven;12;12
952;01210.0;A;121;;GROCERIES;EXPENSES - GOODS;Teelt van druiven;12;12
338;0122.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van tropisch en subtropisch fruit;12;12
953;01220.0;A;122;;GROCERIES;EXPENSES - GOODS;Teelt van tropisch en subtropisch fruit;12;12
339;0123.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van citrusvruchten;12;12
954;01230.0;A;123;;GROCERIES;EXPENSES - GOODS;Teelt van citrusvruchten;12;12
340;0124.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van pit- en steenvruchten;12;12
955;01240.0;A;124;;GROCERIES;EXPENSES - GOODS;Teelt van pit- en steenvruchten;12;12
341;0125.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van andere boomvruchten, kleinfruit en noten;12;12
956;01250.0;A;125;;GROCERIES;EXPENSES - GOODS;Teelt van andere boomvruchten, kleinfruit en noten;12;12
