;Code;Parent code level 1;Parent code;Level nr;Prometis_label_D_retail;Prometis_label_D_corp;Label NL
0;01.0;A;A;2.0;GROCERIES;EXPENSES - GOODS;Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten
66;011.0;A;1;3.0;GROCERIES;EXPENSES - GOODS;Teelt van eenjarige gewassen
330;0111.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden
944;01110.0;A;111;;GROCERIES;EXPENSES - GOODS;Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden
331;0112.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van rijst
945;01120.0;A;112;;GROCERIES;EXPENSES - GOODS;Teelt van rijst
332;0113.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van groenten, meloenen en wortel- en knolgewassen
946;01130.0;A;113;;GROCERIES;EXPENSES - GOODS;Teelt van groenten, meloenen en wortel- en knolgewassen
333;0114.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van suikerriet
947;01140.0;A;114;;GROCERIES;EXPENSES - GOODS;Teelt van suikerriet
334;0115.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van tabak
948;01150.0;A;115;;GROCERIES;EXPENSES - GOODS;Teelt van tabak
335;0116.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van vezelgewassen
949;01160.0;A;116;;GROCERIES;EXPENSES - GOODS;Teelt van vezelgewassen
336;0119.0;A;11;;GROCERIES;EXPENSES - GOODS;Teelt van andere eenjarige gewassen
950;01191.0;A;119;;GROCERIES;EXPENSES - GOODS;Teelt van bloemen
951;01199.0;A;119;;GROCERIES;EXPENSES - GOODS;Teelt van andere eenjarige gewassen, n.e.g.
67;012.0;A;1;3.0;GROCERIES;EXPENSES - GOODS;Teelt van meerjarige gewassen
337;0121.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van druiven
952;01210.0;A;121;;GROCERIES;EXPENSES - GOODS;Teelt van druiven
338;0122.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van tropisch en subtropisch fruit
953;01220.0;A;122;;GROCERIES;EXPENSES - GOODS;Teelt van tropisch en subtropisch fruit
339;0123.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van citrusvruchten
954;01230.0;A;123;;GROCERIES;EXPENSES - GOODS;Teelt van citrusvruchten
340;0124.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van pit- en steenvruchten
955;01240.0;A;124;;GROCERIES;EXPENSES - GOODS;Teelt van pit- en steenvruchten
341;0125.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van andere boomvruchten, kleinfruit en noten
956;01250.0;A;125;;GROCERIES;EXPENSES - GOODS;Teelt van andere boomvruchten, kleinfruit en noten
342;0126.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van oliehoudende vruchten
957;01260.0;A;126;;GROCERIES;EXPENSES - GOODS;Teelt van oliehoudende vruchten
343;0127.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van gewassen bestemd voor de vervaardiging van dranken
958;01270.0;A;127;;GROCERIES;EXPENSES - GOODS;Teelt van gewassen bestemd voor de vervaardiging van dranken
344;0128.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van specerijgewassen en van aromatische en medicinale gewassen
959;01280.0;A;128;;GROCERIES;EXPENSES - GOODS;Teelt van specerijgewassen en van aromatische en medicinale gewassen
345;0129.0;A;12;;GROCERIES;EXPENSES - GOODS;Teelt van andere meerjarige gewassen
960;01290.0;A;129;;GROCERIES;EXPENSES - GOODS;Teelt van andere meerjarige gewassen
68;013.0;A;1;3.0;GARDEN PRODUCTS AND PETS;OTHER SERVICES;Plantenvermeerdering
346;0130.0;A;13;;GARDEN PRODUCTS AND PETS;OTHER SERVICES;Plantenvermeerdering
961;01301.0;A;130;;GARDEN PRODUCTS AND PETS;OTHER SERVICES;Boomkwekerijen, m.u.v. bosboomkwekerijen
962;01309.0;A;130;;GARDEN PRODUCTS AND PETS;OTHER SERVICES;Overige plantenvermeerdering
69;014.0;A;1;3.0;GROCERIES;EXPENSES - GOODS;Veeteelt
347;0141.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van melkvee
963;01410.0;A;141;;GROCERIES;EXPENSE - GOODS;Fokken van melkvee
348;0142.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van andere runderen en buffels
964;01420.0;A;142;;GROCERIES;EXPENSE - GOODS;Fokken van andere runderen en buffels
349;0143.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van paarden en andere paardachtigen
965;01430.0;A;143;;GROCERIES;EXPENSE - GOODS;Fokken van paarden en andere paardachtigen
350;0144.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van kamelen en andere kameelachtigen
966;01440.0;A;144;;GROCERIES;EXPENSE - GOODS;Fokken van kamelen en andere kameelachtigen
351;0145.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van schapen en geiten
967;01450.0;A;145;;GROCERIES;EXPENSE - GOODS;Fokken van schapen en geiten
352;0146.0;A;14;4.0;GROCERIES;EXPENSE - GOODS;Fokken van varkens
968;01461.0;A;146;5.0;GROCERIES;EXPENSE - GOODS;Fokvarkenshouderijen
969;01462.0;A;146;5.0;GROCERIES;EXPENSE - GOODS;Varkensvetmesterijen
